Description,HealthSymptom,PollutionSource,EnvironmentalHazard
Residents are reporting polluted soil beds. actually,0,0,1
Citizens are complaining about itchy skin rashes and microplastic contamination and from the urban transportation hub.,1,1,1
Sensor alerts indicate persistent asthma attacks.,1,0,0
We have observed contaminated water supply and from the unregulated agricultural runoff.,0,1,1
Satellite data shows normal environmental conditions with no major issues reported. actually,0,0,0
Satellite data shows eye inflammation and radioactive waste leak.,1,0,1
Sensor alerts indicate stomach cramps and pathogen-rich runoff and from the coal-fired power plant.,1,1,1
Satellite data shows shortness of breath and particulate matter spikes and from the sewage treatment leak. actually,1,1,1
Recent samples show dangerous noise levels.,0,0,1
Sensor alerts indicate persistent asthma attacks.,1,0,0
We have observed constant headaches and carbon monoxide buildup and from the coal-fired power plant. actually,0,1,1
Experts warn of difficulty breathing and sulfur dioxide stench and from the manufacturing hub. possibly,1,1,1
Sensor alerts indicate persistent asthma attacks and toxic chemical emissions. possibly,1,0,1
There is a noticeable increase in itchy skin rashes and from the unregulated agricultural runoff.,1,1,0
The community is facing allergic reactions and from the heavy vehicle traffic.,1,1,0
We have observed chronic fatigue.,1,0,0
There is a noticeable increase in noxious smoke clouds.,0,0,1
Emergency services responded to lung congestion and dangerous noise levels.,1,0,1
Residents are reporting stomach cramps.,1,0,0
We have observed dangerous noise levels and from the mining operations.,0,1,1
Investigations reveal allergic reactions and sulfur dioxide stench and from the mining operations.,1,1,1
There is a noticeable increase in from the petrochemical refinery. possibly,0,1,0
Sensor alerts indicate burning eyes and radioactive waste leak and from the mining operations. somehow,1,1,1
Experts warn of itchy skin rashes.,1,0,0
We have observed pathogen-rich runoff and from the massive construction site. I think,0,1,1
Local news reported on throat irritation.,1,0,0
Sensor alerts indicate difficulty breathing.,1,0,0
Local news reported on noxious smoke clouds and from the local industrial plant.,0,1,1
There is a noticeable increase in itchy skin rashes and sulfur dioxide stench and from the coal-fired power plant.,1,1,1
There is a noticeable increase in carbon monoxide buildup.,0,0,1
There is a noticeable increase in burning eyes and hazardous fine dust particles and from the coal-fired power plant.,1,1,1
Recent samples show constant headaches and noxious smoke clouds and from the sewage treatment leak. I think,1,1,0
Residents are reporting from the massive construction site.,0,1,0
Citizens are complaining about hazardous fine dust particles and from the sewage treatment leak.,0,1,1
Sensor alerts indicate lung congestion. actually,1,0,0
Residents are reporting eye inflammation. somehow,1,0,0
Local news reported on severe coughing. actually,1,0,0
Residents are reporting nausea and dizziness and toxic chemical emissions. like,1,0,1
Sensor alerts indicate difficulty breathing and microplastic contamination.,1,0,1
Investigations reveal severe coughing and toxic chemical emissions.,1,0,1
The community is facing frequent diarrhea and contaminated water supply.,1,0,0
Satellite data shows allergic reactions.,1,0,0
The community is facing difficulty breathing and noxious smoke clouds.,1,0,1
Citizens are complaining about from the mining operations.,0,1,0
Residents are reporting hazardous fine dust particles and from the illegal dumping ground.,0,1,1
Experts warn of difficulty breathing and from the petrochemical refinery.,1,1,0
Residents are reporting difficulty breathing and from the local industrial plant.,1,1,0
The community is facing stomach cramps.,1,0,0
There is a noticeable increase in normal environmental conditions with no major issues reported. like,0,0,0
Experts warn of smog-filled atmosphere. possibly,0,0,1
We have observed stomach cramps and pathogen-rich runoff.,1,0,1
Satellite data shows from the coal-fired power plant.,0,1,0
Sensor alerts indicate microplastic contamination.,0,0,1
The community is facing carbon monoxide buildup.,0,0,1
We have observed severe coughing.,1,0,0
Emergency services responded to nausea and dizziness and particulate matter spikes and from the local industrial plant. I think,1,1,1
Citizens are complaining about lung congestion and toxic chemical emissions.,1,0,1
Citizens are complaining about toxic chemical emissions and from the sewage treatment leak. somehow,0,1,1
Sensor alerts indicate nausea and dizziness and from the urban transportation hub.,1,1,0
Citizens are complaining about hazardous fine dust particles.,0,0,1
Experts warn of constant headaches and carbon monoxide buildup and from the commercial boiler exhaust.,1,1,1
Sensor alerts indicate burning eyes and heavy metal leaching. possibly,1,0,1
Citizens are complaining about persistent asthma attacks and hazardous fine dust particles and from the nearby chemical factory. somehow,1,1,1
Investigations reveal normal environmental conditions with no major issues reported.,0,0,0
Residents are reporting burning eyes and contaminated water supply.,1,0,0
Recent samples show chronic fatigue and microplastic contamination.,1,0,1
The community is facing difficulty breathing and sulfur dioxide stench and from the urban transportation hub.,1,1,1
Satellite data shows burning eyes. maybe,1,0,0
Experts warn of normal environmental conditions with no major issues reported.,0,0,0
Emergency services responded to throat irritation and from the nearby chemical factory. actually,1,1,0
Investigations reveal carbon monoxide buildup.,0,0,1
Investigations reveal from the manufacturing hub.,0,1,0
Emergency services responded to stomach cramps and radioactive waste leak.,1,0,1
Emergency services responded to noxious smoke clouds.,0,0,1
Satellite data shows from the sewage treatment leak. I think,0,1,0
The community is facing nausea and dizziness and contaminated water supply.,1,0,1
We have observed constant headaches and hazardous fine dust particles and from the nearby chemical factory. maybe,1,1,1
Recent samples show allergic reactions. actually,1,0,0
Emergency services responded to nausea and dizziness.,1,0,0
There is a noticeable increase in pathogen-rich runoff and from the metal processing unit.,0,1,1
Emergency services responded to from the mining operations. like,0,1,0
The community is facing normal environmental conditions with no major issues reported.,0,1,0
We have observed from the coal-fired power plant.,0,1,0
